,Ticker,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,coinMarketCapLink,regularMarketPrice,preMarketPrice,logo_url,fax,trailingPE,address2,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid
0,AAL,76155,Industrials,129200.0,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier. The company provides scheduled air transportation services for passengers and cargo through its hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C., as well as through partner gateways in London, Madrid, Seattle/Tacoma, Sydney, and Tokyo. As of December 31, 2021, it operated a mainline fleet of 865 aircraft. The company was formerly known as AMR Corporation and changed its name to American Airlines Group Inc. in December 2013. American Airlines Group Inc. was founded in 1930 and is headquartered in Fort Worth, Texas.",Fort Worth,682 278 9000,TX,United States,[],https://www.aa.com,1,1 Skyview Drive,Airlines,0.022839999,-0.04718,0.17474002,-16000000.0,0.795,-0.03539,930000000.0,7.0,hold,1934000000.0,-761124992.0,14.25,13.2,21.978,0.814,-0.01283,14.0,16.54,,,28.0,12522000384.0,44864999424.0,40717000704.0,19.269,USD,62.71,0.631,3.0,NMS,"American Airlines Group, Inc.",American Airlines Group Inc.,America/New_York,EDT,False,-14400000,EQUITY,AAL,finmb_168569,us_market,,1.004,,43.938,-0.32411677,,1.26,,649846016.0,,,,-12.961,85910127.0,0.1322,,1640908800.0,0.54764,-1920999936.0,-3.671,0.1,-0.18622762,,0.0119,1703980800.0,,1656547200.0,2.66,1661904000.0,642801597.0,1.450626,40862478336.0,2,,,,,1580774400.0,,24.053,0.21067286,1664496000.0,0.15,,10.476191,,0.14899999,77580601.0,0.0,,,13.11,13.53,15.67745,0.0,0.0,,13.58,,40682440,13.11,13.5432,0.0,13.53,,40682440,,,,1580774400.0,,,12.92,USD,39973756,,,,8577967104.0,,,31854076,12.92,0.0,36200,39973756,22.35,,,11.65,0.0,False,,42300,13.58,,13.2,13.46,https://logo.clearbit.com/aa.com,,,,,,,
1,AAON,74107,Industrials,2881.0,"AAON, Inc., together with its subsidiaries, engages in engineering, manufacturing, marketing, and selling air conditioning and heating equipment in the United States and Canada. The company operates through three segments: AAON Oklahoma, AAON Coil Products, and BasX. It offers rooftop units, data center cooling solutions, cleanroom systems, chillers, packaged outdoor mechanical rooms, air handling units, makeup air units, energy recovery units, condensing units, geothermal/water-source heat pumps, coils, and controls. The company markets and sells its products to retail, manufacturing, educational, lodging, supermarket, data centers, medical and pharmaceutical, and other commercial industries. It sells its products through a network of independent manufacturer representative organizations and internal sales force. The company was incorporated in 1987 and is based in Tulsa, Oklahoma.",Tulsa,918 583 2266,OK,United States,[],https://www.aaon.com,1,2425 South Yukon Avenue,Building Products & Equipment,0.15225,0.08369,0.23409,-3309000.0,0.451,0.10466,101467000.0,72.0,buy,137830000.0,-92541872.0,73.0,55.6,-0.211,2.404,0.06806,3.0,74.0,22.867,0.12759,77.0,17647000.0,112165000.0,666438016.0,0.332,USD,12.645,1.162,2.0,NMS,"AAON, Inc.","AAON, Inc.",America/New_York,EDT,False,-14400000,EQUITY,AAON,finmb_320500,us_market,,4.467,,29.337,-0.22194237,,2.37,,53158600.0,,,,9.233,942639.0,0.0177,,1640908800.0,0.72062,55772000.0,1.03,0.19,-0.18622762,6.0218782,0.20567,1703980800.0,,1656547200.0,6.39,1661904000.0,42147860.0,0.697126,2976777472.0,2,,1405555200.0,3:2,,1654128000.0,,-0.226,4.434948,1664496000.0,2.91,,23.459915,,0.0252,1006115.0,0.0,,,54.22,54.84,57.1523,0.0070084836,0.3689,,55.925,,133060,54.22,57.6424,0.38,54.84,,133060,,,0.38,1654128000.0,,,54.84,USD,141427,,,,2955618048.0,,,136998,54.84,0.0,800,141427,83.79,,0.66,47.5,0.0,False,0.0069999998,1100,55.925,,55.6,,https://logo.clearbit.com/aaon.com,918 583 6094,53.980583,,,,,
2,AAPL,95014,Technology,154000.0,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services. In addition, the company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; AirPods Max, an over-ear wireless headphone; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, HomePod, and iPod touch. Further, it provides AppleCare support services; cloud services store services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. Additionally, the company offers various services, such as Apple Arcade, a game subscription service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was incorporated in 1977 and is headquartered in Cupertino, California.",Cupertino,408 996 1010,CA,United States,[],https://www.apple.com,1,One Apple Park Way,Consumer Electronics,0.3343,0.25709,0.43313998,118224003072.0,0.019,0.30533,129556996096.0,136.0,buy,152836000000.0,83344621568.0,185.0,142.41,-0.077,0.865,0.22204,41.0,183.69,205.984,1.62816,220.0,48230998016.0,119691001856.0,387541991424.0,3.001,USD,23.732,0.697,1.9,NMS,Apple Inc.,Apple Inc.,America/New_York,EDT,False,-14400000,EQUITY,AAPL,finmb_24937,us_market,,5.923,,17.717,-0.042686224,,6.44,,16070800384.0,,,,3.61,103251184.0,0.0064,,1632528000.0,0.59578997,99632996352.0,6.05,0.23,-0.18622762,39.448757,0.00071000005,1695600000.0,,1656115200.0,1.06,1661904000.0,16053717003.0,1.249815,2295330766848.0,2,,1598832000.0,4:1,,1659657600.0,,-0.106,5.9055347,1664496000.0,2.61,,22.113354,,0.0064,113066596.0,0.0,,,138.38,141.065,157.9988,0.006431565,0.1471,,142.9,,83073900,138.38,155.892,0.89,141.065,,83073900,,,0.92,1659657600.0,,,140.27,USD,85250939,,,,2288642686976.0,,,81088200,140.27,0.0,800,85250939,182.94,,1.02,129.04,0.0,False,0.0066000004,800,142.9,,142.41,144.86,https://logo.clearbit.com/apple.com,,23.538843,,,,,
3,AAWW,10577-2543,Industrials,4056.0,"Atlas Air Worldwide Holdings, Inc., through its subsidiaries, provides outsourced aircraft and aviation operating services. It operates through two segments, Airline Operations and Dry Leasing. The company offers outsourced cargo and passenger aircraft operating solutions, including contractual service arrangements, such as the provision of aircraft; and value-added services, including crew, maintenance, and insurance to aircraft and other customers. It also provides cargo and passenger aircraft charter services to the U.S. Military Air Mobility Command, charter brokers, freight forwarders, direct shippers, airlines, manufacturers, sports teams and fans, and private charter customers; and cargo and passenger aircraft and engines dry leasing services. In addition, the company offers administrative and management support services, and flight simulator training services. It also serves express delivery providers, e-commerce retailers, and airlines. The company has operations in Africa, Asia, Australia, Europe, the Middle East, North America, and South America. Atlas Air Worldwide Holdings, Inc. was founded in 1992 and is headquartered in Purchase, New York.",Purchase,914 701 8000,NY,United States,[],https://www.atlasairworldwide.com,1,2000 Westchester Avenue,Airports & Air Services,0.23141001,0.10601,0.30877,1005865984.0,0.191,0.15851,1017337024.0,82.0,hold,1351091000.0,253291376.0,102.5,99.89,-0.249,0.864,0.07003,5.0,98.5,79.227,0.17384,103.0,606566976.0,2269519104.0,4396224000.0,21.417,USD,152.607,0.771,2.7,NMS,Atlas Air Worldwide Holdings,"Atlas Air Worldwide Holdings, Inc.",America/New_York,EDT,False,-14400000,EQUITY,AAWW,finmb_340272,us_market,,1.02,,4.409,0.2882383,,14.13,,28321000.0,,,,101.147,3270929.0,0.1155,,1640908800.0,1.12748,466043008.0,14.64,,-0.18622762,0.9875725,0.01293,1703980800.0,,1656547200.0,3.58,1661904000.0,24402314.0,1.163596,4485215744.0,2,,,,,,,-0.176,0.6435033,1664496000.0,0.6,,7.069356,,0.1592,3366436.0,0.0,,,99.65,99.87,80.7754,0.0,0.0,,100.175,,342710,99.65,99.1628,0.0,99.87,,342710,,,,,,,99.685,USD,202038,,,,2828984576.0,,,1091707,99.685,0.0,1100,202038,101.62,,,58.7,0.0,False,,800,100.175,,99.89,,https://logo.clearbit.com/atlasairworldwide.com,914 701 8333,6.823087,,,,,
4,ABCB,30305,Financial Services,2885.0,"Ameris Bancorp operates as the bank holding company for Ameris Bank that provides range of banking services to retail and commercial customers primarily in Georgia, Alabama, Florida, North Carolina, and South Carolina. The company operates through five segments: Banking Division, Retail Mortgage Division, Warehouse Lending Division, SBA Division, and Premium Finance Division. It offers commercial and retail checking, regular interest-bearing savings, money market, individual retirement, and certificates of deposit accounts. The company also provides commercial real estate, residential real estate mortgage, agricultural, and commercial and industrial loans; consumer loans, including motor vehicle, home improvement, and home equity loans, as well as loans secured by savings accounts and small unsecured personal credit lines. In addition, it originates, administers, and services commercial insurance premium loans and small business administration loans. The company operates 165 full service domestic banking offices and 35 mortgage and loan production offices. Ameris Bancorp was founded in 1971 and is headquartered in Atlanta, Georgia.",Atlanta,404 639 6500,GA,United States,[],https://www.amerisbank.com,1,3490 Piedmont Road NE,Banks—Regional,0.0,0.34115002,0.0,815235008.0,-0.003,0.45766,,48.0,buy,1041196000.0,,55.0,50.4,0.024,,0.01472,5.0,56.0,,0.11349,63.0,2306835968.0,553870016.0,983105024.0,33.368,USD,14.18,,2.0,NMS,Ameris Bancorp,Ameris Bancorp,America/New_York,EDT,False,-14400000,EQUITY,ABCB,finmb_343936,us_market,,1.696,,,-0.03020972,,5.32,,69360096.0,,,,44.455,1749259.0,0.0252,,1640908800.0,0.90202004,335388000.0,4.81,0.15,-0.18622762,1.1337308,0.0537,1703980800.0,,1656547200.0,4.06,1661904000.0,65224647.0,1.136698,1667793536.0,2,,1277683200.0,211:210,,1664409600.0,,0.02,3.5558245,1664496000.0,1.22,,9.473684,,0.0363,2160983.0,0.0,,,49.48,50.3,46.0132,0.012126112,0.1247,,50.99,,327590,49.48,47.8088,0.6,50.3,,327590,,,0.6,1664409600.0,,,49.49,USD,385393,,,,3495748864.0,,,334564,49.49,0.0,1100,385393,56.64,,1.29,38.22,0.0,False,0.0121,800,50.99,,50.4,,https://logo.clearbit.com/amerisbank.com,,10.478171,Suite 1550,,,,
5,ABCL,V5Y 0A1,Healthcare,450.0,"AbCellera Biologics Inc. develops antibody discovery platform. Its full-stack, artificial intelligence-powered antibody discovery platform searches and analyzes the database of natural immune systems to find antibodies that could be developed as drugs. As of December 31, 2021, the company had 156 discovery programs that are either completed, in progress, or under contract with 36 partners. AbCellera Biologics Inc. has a research collaboration and license agreement with Eli Lilly and Company. The company was incorporated in 2012 and is headquartered in Vancouver, Canada.",Vancouver,,BC,Canada,[],https://www.abcellera.com,1,2215 Yukon Street,Biotechnology,0.56478,0.39493,0.73625,350590016.0,0.661,0.53219,286523008.0,14.0,buy,267625000.0,262212752.0,32.0,10.64,,5.173,0.12292,8.0,29.63,3.033,0.18377,43.0,1022267008.0,36782000.0,507316000.0,3.585,USD,1.796,4.861,1.7,NMS,AbCellera Biologics Inc.,AbCellera Biologics Inc.,America/New_York,EDT,False,-14400000,EQUITY,ABCL,finmb_280568380,us_market,,4.038,,7.149,-0.33375078,,-0.32,,285139008.0,,,,4.255,19410456.0,0.0681,,1640908800.0,0.47571,200354000.0,0.62,,-0.18622762,2.5005875,0.28851998,1703980800.0,,1656547200.0,13.18,1661904000.0,207127562.0,,2048390144.0,2,,,,,,,,5.980255,1664496000.0,2.02,,-33.25,,0.1275,20054613.0,0.0,,,10.34,10.58,9.737725,0.0,0.0,,10.8899,,1469770,10.34,11.0616,0.0,10.58,,1469770,,,,,,,10.55,USD,867393,,,,3033879040.0,,,1760840,10.55,12.01,1200,867393,17.93,,,5.42,0.0,False,,3100,10.8899,,10.64,10.32,https://logo.clearbit.com/abcellera.com,,17.161291,,,,,
6,ABMD,01923,Healthcare,2003.0,"Abiomed, Inc. engages in the research, development, and sale of medical devices to assist or replace the pumping function of the failing heart. It also provides a continuum of care to heart failure patients. The company offers Impella 2.5, a percutaneous micro heart pump with integrated motor and sensors; and Impella CP, a device for use by interventional cardiologists to support patients in the cath lab, as well as by cardiac surgeons in the heart surgery suite. It also provides Impella 5.0, Impella LD, and Impella 5.5, which are percutaneous micro heart pumps with integrated motors and sensors for use primarily in the heart surgery suite; Impella RP, a percutaneous catheter-based axial flow pump; Impella SmartAssist platform that includes optical sensor technology for improved pump positioning and the use of algorithms that enable improved native heart assessment during the weaning process; Impella Connect, a cloud-based technology that enables secure and remote viewing of the automated impella controller for physicians and hospital staffs; and OXY-1 System, a portable external respiratory assistance device. In addition, the company is developing Impella ECP, a pump for blood flow of greater than three liters per minute; Impella XR Sheath, a sheath that expands and recoils allowing small bore access and closure with Impella heart pumps; Impella BTR, a percutaneous micro heart pump with integrated motors and sensors; and preCARDIA, a catheter-mounted superior vena cava therapy system designed to rapidly treat acutely decompensated heart failure. Abiomed, Inc. sells its products through direct sales and clinical support personnel in the Germany, France, United States, Japan, Europe, Canada, Latin America, the Asia-Pacific, and the Middle East. The company was founded in 1981 and is headquartered in Danvers, Massachusetts.",Danvers,978 646 1400,MA,United States,[],https://www.abiomed.com,1,22 Cherry Hill Drive,Medical Devices,0.26437,0.20598,0.81483,298134016.0,0.097,0.23805,279260992.0,235.0,hold,843595000.0,223637872.0,305.0,257.87,,7.533,0.09941,5.0,309.0,0.507,0.15303001,355.0,844321024.0,0.0,1056316992.0,18.572,USD,23.21,6.645,2.6,NMS,"ABIOMED, Inc.","Abiomed, Inc.",America/New_York,EDT,False,-14400000,EQUITY,ABMD,finmb_247589,us_market,,9.929,,37.557,-0.26198447,,5.53,,45460900.0,,,,33.713,1678025.0,0.0369,,1648684800.0,0.95292,217584000.0,4.6,,-0.18622762,7.6489778,0.020060001,1711843200.0,,1656547200.0,5.79,1661904000.0,44559849.0,1.314296,10488168448.0,2,,970444800.0,2:1,,,,,11.097996,1664496000.0,3.2,,46.6311,,0.0476,1654534.0,0.0,,,249.28,255.74,281.3199,0.0,0.0,,258.75,,313850,249.28,264.2434,0.0,255.74,,313850,,,,,,,251.465,USD,282106,,,,11723001856.0,,,278225,251.465,0.0,800,282106,379.3,,,219.85,0.0,False,,900,258.75,,257.87,,https://logo.clearbit.com/abiomed.com,978 777 8411,56.058697,,,,,
7,ABNB,94103,Consumer Cyclical,6132.0,"Airbnb, Inc., together with its subsidiaries, operates a platform that enables hosts to offer stays and experiences to guests worldwide. The company's marketplace model connects hosts and guests online or through mobile devices to book spaces and experiences. It primarily offers private rooms, primary homes, or vacation homes. The company was formerly known as AirBed & Breakfast, Inc. and changed its name to Airbnb, Inc. in November 2010. Airbnb, Inc. was founded in 2007 and is headquartered in San Francisco, California.",San Francisco,415 510 4027,CA,United States,[],https://www.airbnb.com,1,888 Brannan Street,Travel Services,0.18318,0.1691,0.81584,2795403008.0,0.576,0.17593999,1352365056.0,100.0,buy,4835927000.0,2297380352.0,140.0,116.5,,1.579,0.047,30.0,140.43,45.401,0.28905,197.0,9895479296.0,2381308928.0,7382671872.0,15.474,USD,11.697,0.892,2.5,NMS,"Airbnb, Inc.","Airbnb, Inc.",America/New_York,EDT,False,-14400000,EQUITY,ABNB,finmb_115705393,us_market,,9.074,,49.534,-0.317676,,2.56,,399167008.0,,,,8.202,19160570.0,0.03,,1640908800.0,0.65374,1248443008.0,2.08,,-0.18622762,14.203854,0.0146,1703980800.0,,1656547200.0,3.28,1661904000.0,384901416.0,,66987417600.0,2,,,,,,,,9.455603,1664496000.0,1.15,,45.507812,,0.048800003,16537998.0,0.0,,,109.16,112.33,132.09695,0.0,0.0,,116.76,,4739820,109.16,114.572,0.0,112.33,,4739820,,,,,,,111.08,USD,5423881,,,,69807611904.0,,,5768718,111.08,0.0,1000,5423881,212.584,,,86.71,0.0,False,,900,116.76,,116.5,118.76,https://logo.clearbit.com/airbnb.com,,56.009617,,,,,
8,ACAD,92130,Healthcare,540.0,"ACADIA Pharmaceuticals Inc., a biopharmaceutical company, focuses on the development and commercialization of small molecule drugs that address unmet medical needs in central nervous system disorders. The company offers NUPLAZID (pimavanserin) for the treatment of hallucinations and delusions associated with Parkinson's disease psychosis. It's pipeline include, pimavanserin, under phase 3 development for the treatment of Alzheimer's disease psychosis, and negative symptoms of schizophrenia; Trofinetide, a novel synthetic analog, under phase 3 development for the treatment of Rett syndrome; ACP-044, a novel first-in-class orally administered non-opioid analgesic, under phase 2 development for treating acute and chronic pain; and ACP-319, a positive allosteric modulator of the muscarinic receptor, under phase 1 development for treating schizophrenia and cognition in Alzheimer's. ACADIA Pharmaceuticals Inc. was founded in 1993 and is headquartered in San Diego, California.",San Diego,858 558 2871,CA,United States,[],https://www.acadia-pharm.com,1,12830 El Camino Real,Biotechnology,-0.39827,-0.39933,0.32696,-129638000.0,0.168,-0.40325,-204074000.0,10.0,hold,225589000.0,-49195624.0,18.0,15.96,,4.525,-0.19315,16.0,18.81,14.653,-0.40936002,26.0,436351008.0,63717000.0,512400992.0,2.696,USD,3.181,4.293,2.6,NMS,ACADIA Pharmaceuticals Inc.,ACADIA Pharmaceuticals Inc.,America/New_York,EDT,False,-14400000,EQUITY,ACAD,finmb_683713,us_market,,4.238,,-10.641,-0.09779537,,-0.55,,161843008.0,,,,2.687,9675002.0,0.0598,,1640908800.0,0.94097,-204618000.0,-1.334,,-0.18622762,5.9397097,0.00417,1703980800.0,,1656547200.0,6.34,1661904000.0,119509863.0,0.629697,2171540992.0,2,,,,,,,,5.041002,1664496000.0,-0.5,,-29.01818,,0.0809,9970493.0,0.0,,,15.72,15.88,19.5079,0.0,0.0,,16.11,,1511440,15.72,16.836,0.0,15.88,,1511440,,,,,,,15.79,USD,1322546,,,,2583014400.0,,,1559571,15.79,0.0,1200,1322546,28.06,,,12.24,0.0,False,,1200,16.11,,15.96,16.0,https://logo.clearbit.com/acadia-pharm.com,858 212 0513,,Suite 400,,,,
9,ACHC,37067,Healthcare,22500.0,"Acadia Healthcare Company, Inc. provides behavioral healthcare services in the United States and Puerto Rico. The company offers behavioral healthcare services to its patients in various settings, including inpatient psychiatric hospitals, specialty treatment facilities, residential treatment centers, and outpatient clinics. As of March 31, 2022, it operated a network of 238 behavioral healthcare facilities with approximately 10,600 beds. The company was founded in 2005 and is headquartered in Franklin, Tennessee.",Franklin,615-861-6000,TN,United States,[],https://www.acadiahealthcare.com,1,6100 Tower Circle,Medical Care Facilities,0.2192,0.11322,0.42808,433952000.0,0.119,0.17257,536910016.0,78.0,buy,979888000.0,147357504.0,92.0,82.39,0.796,1.173,0.05593,13.0,90.15,57.596,0.10993,103.0,128368000.0,1577264000.0,2449411072.0,1.413,USD,27.446,1.048,2.2,NMS,"Acadia Healthcare Company, Inc.","Acadia Healthcare Company, Inc.",America/New_York,EDT,False,-14400000,EQUITY,ACHC,finmb_26259736,us_market,,3.596,,16.407,0.45155036,,3.4,,90841000.0,,,,29.664,4334667.0,0.0477,,1640908800.0,1.04042,277320000.0,3.03,,-0.18622762,2.7774408,0.01512,1703980800.0,,1656547200.0,6.93,1661904000.0,89180435.0,1.280397,8808911872.0,2,,1320105600.0,1:4,,,,0.799,3.0555875,1664496000.0,2.17,,24.232351,,0.0552,4110940.0,0.0,,,80.19,80.71,69.9977,0.0,0.0,,82.9,,443010,80.19,81.789,0.0,80.71,,443010,,,,,,,80.71,USD,410986,,,,7484389888.0,,,585364,80.71,0.0,900,410986,86.75,,,50.07,0.0,False,,800,82.9,,82.39,,https://logo.clearbit.com/acadiahealthcare.com,615-261-9685,27.19142,Suite 1000,,,,
